"Nom du lieu ou du projet";"Fiche agence liée";"Titre affiché";Adresse;Coordonnées;"Interior Designers";"Points of Interest";"Design events";"Design point of sales";"Année projet";"Description projet";"Date du vernissage";"Heure de vernissage";"Date de début de l'exposition";"Date de fin de l'exposition";"Site web du projet";"Crédits photo";"Photos du projet"
"Roche Bobois, Hanoi, Roche Bobois
Bac Ha Tower
17 To Huu Street,
Phung Khoang  Urban,
Trung Van Ward
Nam Tu Liem District,
Hanoi
Vietnam";"Roche Bobois";Hanoi;"Roche Bobois
Bac Ha Tower
17 To Huu Street,
Phung Khoang  Urban,
Trung Van Ward
Nam Tu Liem District,
Hanoi
Vietnam";"20.9975392, 105.7947627";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516351.jpg
"Roche Bobois, Washington Dc, 5301 Wisconsin Avenue, Nw
Washington, Dc 20015";"Roche Bobois";"Washington Dc";"5301 Wisconsin Avenue, Nw
Washington, Dc 20015";"38.9592321, -77.0842289";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516350.jpg
"Roche Bobois, Washington Tysons Corner, Tysons Corner
8075 Leesburg Pike
Suite T2-150
22180 Vienna – Virginia";"Roche Bobois";"Washington Tysons Corner";"Tysons Corner
8075 Leesburg Pike
Suite T2-150
22180 Vienna – Virginia";"38.9122514, -77.2251744";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516350_0.jpg
"Roche Bobois, Caracas, Avenida Paris - Quinta Astrid
Urbanizacion Las Mercedes
Caracas, Venezuela";"Roche Bobois";Caracas;"Avenida Paris - Quinta Astrid
Urbanizacion Las Mercedes
Caracas, Venezuela";"10.4814552, -66.8610592";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516350_1.jpg
"Roche Bobois, Ho Chi Minh, Roche Bobois
159-165 Nguyen Co Thach Street,
An Loi Dong Ward,
District 2,
Hochiminh City,
Vietnam";"Roche Bobois";"Ho Chi Minh";"Roche Bobois
159-165 Nguyen Co Thach Street,
An Loi Dong Ward,
District 2,
Hochiminh City,
Vietnam";"10.7717721, 106.7231524";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516350_2.jpg
"Roche Bobois, Seattle, 1922 Fourth Ave, Seattle, Wa 98101";"Roche Bobois";Seattle;"1922 Fourth Ave, Seattle, Wa 98101";"47.6131507, -122.3394746";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516349_3.jpg
"Roche Bobois, San Diego / 
La Jolla, 7611 Girard Avenue
La Jolla, Ca 92037";"Roche Bobois";"San Diego / 
La Jolla";"7611 Girard Avenue
La Jolla, Ca 92037";"32.8425634, -117.2728013";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516349.jpg
"Roche Bobois, San Diego Utc, Westfield Utc 
4545 La Jolla Village Dr Ste E-25
San Diego 92122";"Roche Bobois";"San Diego Utc";"Westfield Utc 
4545 La Jolla Village Dr Ste E-25
San Diego 92122";"32.8710546, -117.2114223";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516349_0.jpg
"Roche Bobois, San Francisco,  701  8Th Street (At Townsend Street)
San Francisco, Ca 94103";"Roche Bobois";"San Francisco";"701  8Th Street (At Townsend Street)
San Francisco, Ca 94103";"37.7727509, -122.4005063";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516349_1.jpg
"Roche Bobois, Scottsdale, (Provisoire)
4545 N Scottsdale Road 
Suite #103 
Scottsdale Az 85251 
Usa";"Roche Bobois";Scottsdale;"(Provisoire)
4545 N Scottsdale Road 
Suite #103 
Scottsdale Az 85251 
Usa";"33.5037633, -111.9255779";;;;"Roche Bobois";;;;;;;;;http://map.lefrenchdesign.org/sites/default/files/photos/recup_image_1729516349_2.jpg
